Code	Name Zone									UTC
GALT 	Galapagos Time 								-06
GAMT 	Gambier Islands 							-09
GET 	Georgia Standard Time 						+04
GFT 	French Guiana Time 							-03
GILT 	Gilbert Island Time 						+12
GIT 	Gambier Island Time 						-09
GMT 	Greenwich Mean Time 						00
GST 	South Georgia and South Sandwich Islands 	-02
GST 	Gulf Standard Time 							+04
GYT 	Guyana Time 								-04
HADT 	Hawaii-Aleutian Daylight Time 				-09
HAEC 	Heure Avancée Europe Centrale for CEST 		+02
HAST 	Hawaii-Aleutian Standard Time 				-10
HKT 	Hong Kong Time 								+08
HMT 	Heard and McDonald Islands Time 			+05
HOVT 	Khovd Time 									+07
HST 	Hawaii Standard Time 						-10
ICT 	Indochina Time 								+07
IDT 	Israel Daylight Time 						+03
IOT 	Indian Ocean Time 							+03
IRDT 	Iran Daylight Time 							+08
IRKT 	Irkutsk Time 								+09
IRST 	Iran Standard Time							+03.30
IST 	Indian Standard Time 						+05.30
IST 	Irish Standard Time[5] 						+01
IST 	Israel Standard Time 						+02
JST 	Japan Standard Time 						+09
KGT 	Kyrgyzstan time 							+06
KOST 	Kosrae Time 								+11
KRAT 	Krasnoyarsk Time 							+07
KST 	Korea Standard Time 						+09
LHST 	Lord Howe Standard Time 					+10.30
LHST 	Lord Howe Summer Time 						+11
LINT 	Line Islands Time 							+14
MAGT 	Magadan Time 								+12
MART 	Marquesas Islands Time 						-09.30
MAWT 	Mawson Station Time 						+05
MDT 	Mountain Daylight Time (North America) 		-06
MET 	Middle European Time  as CET 				+01
MEST 	Middle European Saving Time as CEST 		+02
MHT 	Marshall Islands							+12
MIST 	Macquarie Island Station Time				+11
MIT 	Marquesas Islands Time						-09.30
MMT 	Myanmar Time								+06.30
MSK 	Moscow Time									+04
MST 	Malaysia Standard Time						+08
MST 	Mountain Standard Time (North America)		-07
MST 	Myanmar Standard Time						+06.30
MUT 	Mauritius Time								+04
MVT 	Maldives Time								+05
MYT 	Malaysia Time								+08
NCT 	New Caledonia Time							+11
NDT 	Newfoundland Daylight Time					-02.30
NFT 	Norfolk Time								+11.30
NPT 	Nepal Time									+05.45
NST 	Newfoundland Standard Time					-03.30
NT 		Newfoundland Time							-03.30
NUT 	Niue Time									-11
NZDT 	New Zealand Daylight Time					+13
NZST 	New Zealand Standard Time					+12
OMST 	Omsk Time									+07
ORAT 	Oral Time									+05
PDT 	Pacific Daylight Time (North America)		-07
PET 	Peru Time									-05
PETT 	Kamchatka Time								+12
PGT 	Papua New Guinea Time						+10
PHOT 	Phoenix Island Time							+13
PHT 	Philippine Time								+08
PKT 	Pakistan Standard Time 						+05
PMDT 	Saint Pierre and Miquelon Daylight time 	-02
PMST 	Saint Pierre and Miquelon Standard Time 	-03
PONT 	Pohnpei Standard Time						+11
PST 	Pacific Standard Time (North America)		-08
PYST 	Paraguay Summer Time (Brazil)[6]			-03
PYT 	Paraguay Time (Brazil)[7]					-04
RET 	Réunion Time								+04
ROTT 	Rothera Research Station Time				-03
SAKT 	Sakhalin Island time						+11
SAMT 	Samara Time									+04
SAST 	South African Standard Time					+02
SBT 	Solomon Islands Time						+11
SCT 	Seychelles Time								+04
SGT 	Singapore Time								+08
SLST 	Sri Lanka Time								+05.30
SRT 	Suriname Time								-03
SST 	Samoa Standard Time							-11
SST 	Singapore Standard Time						+08
SYOT 	Showa Station Time							+03
TAHT 	Tahiti Time									-10
THA 	Thailand Standard Time						+07
TFT 	Indian/Kerguelen							+05
TJT 	Tajikistan Time								+05
TKT 	Tokelau Time								+14
TLT 	Timor Leste Time							+09
TMT 	Turkmenistan Time							+05
TOT 	Tonga Time									+13
TVT 	Tuvalu Time									+12
UCT 	Coordinated Universal Time					00
ULAT 	Ulaanbaatar Time							+08
UTC 	Coordinated Universal Time					00
UYST 	Uruguay Summer Time							-02
UYT 	Uruguay Standard Time						-03
UZT 	Uzbekistan Time								+05
VET 	Venezuelan Standard Time					-04.30
VLAT 	Vladivostok Time							+10
VOLT 	Volgograd Time								+04
VOST 	Vostok Station Time							+06
VUT 	Vanuatu Time								+11
WAKT 	Wake Island Time							+12
WAST 	West Africa Summer Time						+02
WAT 	West Africa Time							+01
WEDT 	Western European Daylight Time				+01
WEST 	Western European Summer Time				+01
WET 	Western European Time						00
WST 	Western Standard Time						+08
YAKT 	Yakutsk Time								+10
YEKT 	Yekaterinburg Time							+06
Z 		Zulu Time (Coordinated Universal Time)		00
